Customer_ID,Gender,Age,Profession_Code,Work_Experience,Family_Size,Annual_Median,Occupation_Name,Card_Avg,Check_Avg,Deposit_Avg,Loan_Payment_Avg,Transfer_Avg,Withdrawal_Avg,Card_Count,Check_Count,Deposit_Count,Loan_Payment_Count,Transfer_Count,Withdrawal_Count
1000,Male,19,53-0000,1,3,37940,"Transportation and Material Moving Occupations",29.7,3323.04,53392.84,22722.13,NULL,793.09,1,2,1,1,NULL,2
1001,Female,31,25-3031,6,2,35250,"Substitute Teachers, Short-Term",52.77,7874.51,52811.1,16223.55,2030.74,1539,4,6,1,2,2,1
1002,Male,23,41-0000,1,2,35290,"Sales and Related Occupations",NULL,4051.47,26184.28,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL
1003,Female,35,15-1244,9,4,90520,"Network and Computer Systems Administrators",19.48,3339.02,NULL,25074.55,903.15,1329.38,1,2,NULL,3,1,2
1004,Female,24,53-7000,2,1,35670,"Material Moving Workers",NULL,5802.39,18112.69,NULL,1515.54,583.86,NULL,4,1,NULL,3,1
1005,Male,23,51-0000,3,2,39910,"Production Occupations",42.94,7565.85,36940.55,23745.81,1951.29,1039.93,1,2,1,4,3,5
1006,Male,37,11-0000,9,4,107360,"Management Occupations",36.71,5065.9,26918.2,NULL,1079.31,1560.27,2,1,1,NULL,3,2
1007,Male,27,53-7065,4,2,34220,"Stockers and Order Fillers",NULL,6117.89,28057.68,10349.44,1913.96,677.78,NULL,2,2,1,1,2
1008,Male,30,25-3000,6,5,38510,"Other Teachers and Instructors",50.39,NULL,23883.58,35021.05,3258.51,890.74,2,NULL,1,2,2,2
1009,Female,38,49-0000,8,3,50080,"Installation, Maintenance, and Repair Occupations",33.89,4000.38,29974.36,20486.23,NULL,664.77,2,4,4,3,NULL,2
1010,Male,44,27-4012,10,4,60700,"Broadcast Technicians",41.45,4974.66,50008.53,25573.38,2711.38,673.5,3,1,2,1,3,2
1011,Male,47,47-0000,20,3,50570,"Construction and Extraction Occupations",27,9328.33,43713.56,22703.82,2023.78,870.92,1,1,3,5,3,3
1012,Female,18,37-2000,2,4,31600,"Building Cleaning and Pest Control Workers",55.4,4465.44,33050.79,21419.32,1358.76,NULL,3,5,1,1,3,NULL
1013,Male,41,15-1250,10,5,114190,"Software and Web Developers, Programmers, and Testers",NULL,7394.64,34124.27,37729.14,1768.39,527.79,NULL,2,1,2,2,1
1014,Female,32,51-0000,6,3,39910,"Production Occupations",27.27,3331.13,33229.17,22343.83,2410.38,941.68,1,2,4,4,4,2
1015,Female,38,25-0000,8,3,57490,"Educational Instruction and Library Occupations",101.14,6757.49,24739.59,21533.72,1861.8,NULL,2,2,3,2,2,NULL
1016,Male,20,37-2020,1,3,38310,"Pest Control Workers",33.24,2531.6,18639.89,40020.9,1881.04,647.46,2,1,1,2,3,1
1017,Female,43,15-1242,10,5,99890,"Database Administrators",NULL,9595.85,32691.2,NULL,3068.75,989.26,NULL,2,3,NULL,4,1
1018,Male,34,15-1299,5,4,98740,"Computer Occupations, All Other",14.56,6575.47,22358.75,22639.84,1848.49,454.07,1,1,3,3,2,1
1019,Female,35,43-3000,8,5,43680,"Financial Clerks",40.99,5173.44,16038.08,14764.74,3489.82,592.03,1,3,1,2,1,1
1020,Female,35,51-4021,10,5,39970,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",67.72,7636.2,43526.86,29652.23,1844.28,747.49,1,2,4,1,2,5
1021,Female,22,53-0000,3,1,37940,"Transportation and Material Moving Occupations",NULL,8372.95,19320.91,43169.96,3426.75,914.06,NULL,2,2,1,2,2
1022,Male,39,11-0000,8,5,107360,"Management Occupations",68.95,6946.47,NULL,14218.87,2111.77,702.68,3,2,NULL,2,3,2
1023,Female,21,51-0000,1,3,39910,"Production Occupations",NULL,3548.34,21670.36,8799.12,2109.97,847.65,NULL,3,1,1,3,4
1024,Female,18,35-0000,1,4,29640,"Food Preparation and Serving Related Occupations",42.43,4171.69,47893.91,19812.6,3903.78,513.15,3,6,3,2,3,3
1025,Male,24,41-0000,1,2,35290,"Sales and Related Occupations",45.77,3680.44,NULL,NULL,NULL,697.26,3,1,NULL,NULL,NULL,4
1026,Male,43,19-5010,11,3,75240,"Occupational Health and Safety Specialists and Technicians",32.83,4293.06,42946.93,24672.45,1869.76,815.34,2,3,1,1,1,2
1027,Male,18,41-1010,1,1,47800,"First-Line Supervisors of Sales Workers",47.86,3876.35,NULL,9699.71,NULL,536.94,3,3,NULL,2,NULL,1
1028,Male,45,11-0000,19,5,107360,"Management Occupations",NULL,2929.02,48718.3,32396.54,2702.67,382.28,NULL,3,1,3,1,1
1029,Female,32,47-2000,5,5,49330,"Construction Trades Workers",23.53,6008.33,36251.29,26718.18,1939.45,417.19,1,1,1,3,2,3
1030,Male,27,43-0000,3,2,40910,"Office and Administrative Support Occupations",61.87,5145.36,32578.41,60370.74,2061.7,530.52,2,3,2,1,2,1
1031,Female,22,31-9000,1,3,38810,"Other Healthcare Support Occupations",22.24,5461.1,42651.44,NULL,1429.75,751.12,1,1,1,NULL,1,2
1032,Female,36,49-0000,9,5,50080,"Installation, Maintenance, and Repair Occupations",NULL,5089.74,18038.53,16256.23,1407.18,517.34,NULL,4,1,2,1,1
1033,Male,20,41-2010,1,1,28250,Cashiers,33.86,3887.21,30246.25,12996.04,2665.71,1048.25,1,1,2,3,1,2
1034,Male,25,53-3032,4,3,49920,"Heavy and Tractor-Trailer Truck Drivers",30.43,5801.62,41421.55,42775.55,3323.8,NULL,2,1,1,2,2,NULL
1035,Male,30,49-0000,4,3,50080,"Installation, Maintenance, and Repair Occupations",18.22,6374.8,44213.03,55713.93,2100.59,1198.14,1,6,4,1,2,1
1036,Male,42,11-1021,10,5,98100,"General and Operations Managers",76.24,6861.69,33287.43,23514.11,1698.55,464.9,1,2,1,1,2,2
1037,Female,25,41-0000,5,3,35290,"Sales and Related Occupations",25.23,NULL,35749.63,21469.15,2637.32,NULL,2,NULL,3,1,1,NULL
1038,Male,25,31-1131,4,1,35760,"Nursing Assistants",29.42,6479.69,24982.39,25025.79,2985.51,NULL,4,1,3,1,1,NULL
1039,Female,36,13-2020,10,4,61560,"Property Appraisers and Assessors",48.98,2870.8,35231.41,NULL,1031.86,625.91,2,1,2,NULL,1,2
1040,Male,19,31-0000,2,4,33600,"Healthcare Support Occupations",70.07,NULL,28543.9,21506.96,3509.03,512.03,2,NULL,6,4,2,3
1041,Male,23,37-0000,1,5,33870,"Building and Grounds Cleaning and Maintenance Occupations",34.33,3716.7,50232.48,14689.28,2501.14,930.81,1,2,2,3,3,1
1042,Male,29,43-0000,5,4,40910,"Office and Administrative Support Occupations",NULL,5725.93,48067.98,19104.56,7020.1,NULL,NULL,3,3,1,1,NULL
1043,Female,41,13-0000,11,4,76850,"Business and Financial Operations Occupations",39.72,6429.21,32191.64,27778.77,NULL,720.47,3,1,5,4,NULL,2
1044,Female,24,33-9000,1,2,34650,"Other Protective Service Workers",63.64,5439.46,22971.1,NULL,2173.52,NULL,1,3,2,NULL,2,NULL
1045,Female,44,29-1051,9,4,132750,Pharmacists,18.38,7653.66,40263.49,NULL,2814.29,NULL,1,5,2,NULL,2,NULL
1046,Female,45,11-9033,19,4,99940,"Education Administrators, Postsecondary",65.09,5267.55,29692.8,19772.15,2129.27,820.76,3,4,2,3,1,2
1047,Male,30,51-9031,5,3,36130,"Cutters and Trimmers, Hand",43.7,9823.18,29306.37,NULL,2100.72,555.02,2,2,3,NULL,2,1
1048,Female,26,35-0000,5,2,29640,"Food Preparation and Serving Related Occupations",11.36,6371.12,27631.59,28042.69,4687.06,690.34,1,2,1,2,2,1
1049,Female,24,53-7060,1,3,34880,"Laborers and Material Movers",34.39,2170.73,15212.85,12779.17,1603.38,797.58,2,1,1,2,2,1
1050,Male,37,43-5060,9,3,50630,"Production, Planning, and Expediting Clerks",36.79,3804.08,39199.93,14862.59,1545.77,1024.38,4,2,4,1,2,1
1051,Male,28,31-0000,5,2,33600,"Healthcare Support Occupations",8.86,4262.61,52906.84,15292.31,2754.67,NULL,1,3,1,2,4,NULL
1052,Female,25,39-9030,5,2,35170,"Recreation and Fitness Workers",34.52,3528.49,NULL,NULL,2084.54,NULL,2,4,NULL,NULL,2,NULL
1053,Male,27,43-4051,6,2,37780,"Customer Service Representatives",NULL,3606.22,23318.99,21028.3,3438.62,815.61,NULL,2,4,1,1,1
1054,Male,29,43-4170,4,3,33960,"Receptionists and Information Clerks",NULL,3831.63,NULL,20448.85,NULL,600.04,NULL,3,NULL,1,NULL,1
1055,Male,34,43-5031,4,3,46900,"Public Safety Telecommunicators",28.49,10727.37,29360.38,32309.83,1473.36,763.8,3,1,2,1,3,3
1056,Male,23,31-9092,2,2,38270,"Medical Assistants",145.92,7417.32,20508.48,22231.03,2405.53,NULL,1,3,2,3,4,NULL
1057,Female,18,31-1120,1,2,30180,"Home Health and Personal Care Aides",43.93,NULL,32201.89,25552.94,NULL,NULL,2,NULL,3,4,NULL,NULL
1058,Female,24,37-0000,1,2,33870,"Building and Grounds Cleaning and Maintenance Occupations",41.66,4783.9,45745.83,NULL,2091.71,854.34,2,1,1,NULL,3,4
1059,Male,23,35-3040,1,1,30300,"Food Servers, Nonrestaurant",25.35,5967.2,37492.6,25716.43,2118.06,654.24,2,4,1,2,3,2
1060,Female,24,43-9000,2,1,38290,"Other Office and Administrative Support Workers",NULL,5038.37,17549.47,29695.77,929.07,NULL,NULL,3,2,2,1,NULL
1061,Female,27,37-2011,5,5,31990,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",39.5,5167.83,NULL,14893.64,1525.36,640.46,4,2,NULL,2,3,2
1062,Female,27,53-0000,6,2,37940,"Transportation and Material Moving Occupations",52.52,4928.18,NULL,17701.44,2232.29,679.93,2,4,NULL,3,7,2
1063,Male,48,25-2021,20,5,61690,"Elementary School Teachers, Except Special Education",45.14,4096.87,47035.93,24170.47,1394.81,1358.47,2,4,3,3,2,1
1064,Male,53,29-1221,22,6,190350,"Pediatricians, General",45.62,8045.56,20966.88,19174.59,1764.92,NULL,1,1,2,3,4,NULL
1065,Female,28,49-9070,6,2,44980,"Maintenance and Repair Workers, General",43.57,NULL,42600.15,NULL,1807.79,987.37,3,NULL,2,NULL,3,1
1066,Male,28,49-9070,4,2,44980,"Maintenance and Repair Workers, General",49.04,8997.8,38431.55,22948.43,1615.85,891.32,3,1,2,4,1,2
1067,Female,24,41-0000,1,3,35290,"Sales and Related Occupations",35.8,5313.73,NULL,15917.34,1420.84,627.59,2,1,NULL,1,2,4
1068,Male,24,53-7000,1,2,35670,"Material Moving Workers",NULL,NULL,36379.33,25596.69,1855.46,741.87,NULL,NULL,1,2,3,3
1069,Male,28,51-9080,3,2,41180,"Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians",28.22,3463.89,47853.97,16954.58,NULL,931.89,1,3,3,1,NULL,1
1070,Female,33,17-0000,5,4,83700,"Architecture and Engineering Occupations",29.28,7022.14,26842.84,10704.99,2569.59,680.55,5,3,3,1,2,1
1071,Male,25,35-3011,4,5,29380,Bartenders,39.5,7261.97,28216.45,25892.67,967.99,982.27,2,2,1,2,1,1
1072,Male,24,43-0000,1,1,40910,"Office and Administrative Support Occupations",39.22,4712.12,22351.3,NULL,1053.81,1370.51,4,1,1,NULL,2,1
1073,Male,22,53-3030,2,3,46300,"Driver/Sales Workers and Truck Drivers",32.79,NULL,21492.4,25036.63,1444.81,962.02,1,NULL,3,5,3,4
1074,Male,42,15-1253,8,5,99620,"Software Quality Assurance Analysts and Testers",NULL,5326.61,28148.98,11042.63,1493.17,947.27,NULL,2,2,1,1,1
1075,Male,27,41-0000,4,3,35290,"Sales and Related Occupations",41.74,5040.48,25405.89,26953.37,3142.47,611.63,1,3,1,3,1,2
1076,Female,51,15-1252,20,3,127260,"Software Developers",NULL,5453.71,41026.62,17831.62,2151.77,550.35,NULL,2,1,3,1,2
1077,Female,45,11-3031,20,6,139790,"Financial Managers",NULL,10351.13,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
